suite,experiment,primitive,threads,cs_cycles,trial,ops_per_sec,mean_latency_ns,p50_ns,p95_ns,p99_ns,stddev_ns,cv_percent,throughput_ops,false_sharing_factor,fairness_gini,cpu_migrations,ctx_switches,notes
false_sharing,false_sharing,false_shared,4,0,1,643990472.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.14,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,4,0,1,734737384.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.14,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,4,0,2,635085104.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.12,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,4,0,2,709870364.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.12,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,4,0,3,637027098.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.18,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,4,0,3,749231822.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.18,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,4,0,4,645406046.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.15,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,4,0,4,743102868.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.15,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,4,0,5,658378520.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.12,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,4,0,5,739985702.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.12,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,4,0,6,672534498.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.08,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,4,0,6,725692912.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.08,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,4,0,7,685238452.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.10,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,4,0,7,755166606.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.10,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,4,0,8,622234892.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.19,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,4,0,8,738994916.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.19,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,4,0,9,655289168.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.12,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,4,0,9,735606378.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.12,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,4,0,10,655165858.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.15,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,4,0,10,756479946.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.15,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,8,0,1,629342182.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.48,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,8,0,1,1558291468.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.48,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,8,0,2,700552014.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.16,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,8,0,2,1513868940.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.16,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,8,0,3,700838652.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.93,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,8,0,3,1352407916.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.93,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,8,0,4,700309142.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.09,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,8,0,4,1460383762.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.09,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,8,0,5,698337450.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.11,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,8,0,5,1474332660.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.11,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,8,0,6,693643656.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.16,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,8,0,6,1501655348.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.16,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,8,0,7,690880730.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.18,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,8,0,7,1508394748.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.18,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,8,0,8,689508648.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.17,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,8,0,8,1499378594.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.17,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,8,0,9,688864674.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.17,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,8,0,9,1497646322.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.17,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,8,0,10,688628168.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.17,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,8,0,10,1497268544.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.17,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,12,0,1,731690448.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.04,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,12,0,1,1490980342.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.04,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,12,0,2,733067684.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.02,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,12,0,2,1480294282.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.02,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,12,0,3,734934406.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.01,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,12,0,3,1476104338.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.01,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,12,0,4,730891048.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.03,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,12,0,4,1483667144.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.03,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,12,0,5,721632564.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.03,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,12,0,5,1463269270.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.03,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,12,0,6,719371990.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.01,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,12,0,6,1447637624.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.01,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,12,0,7,719773708.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.03,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,12,0,7,1462733202.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.03,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,12,0,8,719017488.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.04,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,12,0,8,1468535694.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.04,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,12,0,9,715960572.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.02,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,padded,12,0,9,1448579930.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.02,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
false_sharing,false_sharing,false_shared,12,0,10,723398058.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.03,0.00,-1,-1,"placement=spread;smt=off;formula=slowdown=padded_throughput/false_shared_throughput"
