threads,placement,smt_mode,false_shared_mean_ops,false_shared_std_ops,padded_mean_ops,padded_std_ops,slowdown_mean,formula
1,compact,off,729142805.0,144105.61624723967,729134708.2,126695.93642680073,0.9999888954537514,slowdown = padded throughput / false-shared throughput
2,compact,off,760260538.8,12477835.8966889,1456766185.8,1280621.7507926314,1.9161407326222257,slowdown = padded throughput / false-shared throughput
3,compact,off,764134558.6,344447.5587282054,1473100277.2,12172358.418448698,1.9278021921936408,slowdown = padded throughput / false-shared throughput
4,compact,off,963401059.0,50390640.799117655,1426265439.8,5025109.872679035,1.480448279017306,slowdown = padded throughput / false-shared throughput
6,compact,off,980633633.2,10770812.435920319,1356024459.6,3828342.258941388,1.3828043559703596,slowdown = padded throughput / false-shared throughput
8,compact,off,738324510.8,25555393.8703291,1553982675.8,10779338.559458459,2.1047420924929154,slowdown = padded throughput / false-shared throughput
10,compact,off,720214282.8,6404862.328137359,1537324538.6,26717380.149271317,2.13453769984024,slowdown = padded throughput / false-shared throughput
12,compact,off,760952625.2,2843114.167236773,1540119465.2,18659895.07137457,2.0239360693383674,slowdown = padded throughput / false-shared throughput
1,spread,off,726353038.2,2155905.7426176867,726025538.2,2533283.5464573484,0.9995491173261812,slowdown = padded throughput / false-shared throughput
2,spread,off,729091479.4,293709.90933390195,729147520.8,212983.53916405234,1.0000768647029672,slowdown = padded throughput / false-shared throughput
3,spread,off,763135416.6,1891459.9671757338,1466357903.4,8233024.796068795,1.921491089920934,slowdown = padded throughput / false-shared throughput
4,spread,off,651035010.8,18506968.602504876,738886889.8,13922706.92896345,1.1349418657101813,slowdown = padded throughput / false-shared throughput
6,spread,off,757868797.2,855522.5717805115,1279911047.6,99653284.18292286,1.6888293228705575,slowdown = padded throughput / false-shared throughput
8,spread,off,688090531.6,21252417.577659097,1486362830.2,53571135.906276435,2.1601268465993813,slowdown = padded throughput / false-shared throughput
10,spread,off,724582138.6,2627976.3239449337,1554443772.8,8997245.684613012,2.1452968407466066,slowdown = padded throughput / false-shared throughput
12,spread,off,724973796.6,6941307.90514405,1469222063.8,14234047.003121817,2.0265864375931844,slowdown = padded throughput / false-shared throughput
1,compact,on,728602060.0,375084.2869199221,728573084.8,400149.4156939197,0.9999602317896273,slowdown = padded throughput / false-shared throughput
2,compact,on,637169379.4,35554759.00243705,1237621972.0,239566.2157372429,1.9423751548849149,slowdown = padded throughput / false-shared throughput
3,compact,on,719061392.4,29876813.114144865,1256433023.6,4321739.118570759,1.7473237151648804,slowdown = padded throughput / false-shared throughput
4,compact,on,720737446.4,1628049.0384159174,1264728866.8,7858990.449239774,1.754770579934724,slowdown = padded throughput / false-shared throughput
6,compact,on,688665663.0,3750908.2587390193,1290660640.8,6206434.497944933,1.8741469339092052,slowdown = padded throughput / false-shared throughput
8,compact,on,733846729.2,4051770.726192156,1481724653.4,20670555.809874967,2.0191200620534153,slowdown = padded throughput / false-shared throughput
10,compact,on,723289003.8,2697868.789016578,1551157422.2,17501824.37414674,2.144588696980824,slowdown = padded throughput / false-shared throughput
12,compact,on,731594515.2,4455226.337382016,1510616845.4,17074510.00235899,2.0648280078849885,slowdown = padded throughput / false-shared throughput
1,none,on,722700722.2,17336951.860732704,728504102.6,361793.9508407166,1.0080301295152074,slowdown = padded throughput / false-shared throughput
2,none,on,747870785.2,6842438.34327379,1451503308.4,3002499.397944575,1.9408477201203018,slowdown = padded throughput / false-shared throughput
3,none,on,761844564.8,3027321.749355518,1478687261.6,16134221.001009287,1.940930381236212,slowdown = padded throughput / false-shared throughput
4,none,on,716640489.2,13328312.002274117,1279631359.0,24785741.724732757,1.7855973508118106,slowdown = padded throughput / false-shared throughput
6,none,on,684150212.0,16906439.283620704,1225904672.6,17407340.082464024,1.7918647850978082,slowdown = padded throughput / false-shared throughput
8,none,on,727763322.4,30907935.105492733,1396858365.6,105327561.740851,1.9193854960888586,slowdown = padded throughput / false-shared throughput
10,none,on,724339875.6,20298928.97520396,1434120318.4,83712680.88278793,1.9798997220911803,slowdown = padded throughput / false-shared throughput
12,none,on,732639904.6,7893734.397725769,1380363020.4,63488169.07099081,1.8840947807144601,slowdown = padded throughput / false-shared throughput
1,spread,on,728635365.2,980934.6110499362,727640034.0,2442826.627737638,0.9986339790140067,slowdown = padded throughput / false-shared throughput
2,spread,on,610851671.2,4429277.126039648,652684405.6,26459570.751658615,1.0684826388668476,slowdown = padded throughput / false-shared throughput
3,spread,on,763582389.2,1161803.996393045,1463451788.6,9881748.937134646,1.9165604253042663,slowdown = padded throughput / false-shared throughput
4,spread,on,691085455.2,14711028.964338044,1405841807.8,24557327.67394771,2.034251766148297,slowdown = padded throughput / false-shared throughput
6,spread,on,985784069.2,6094330.544749513,1357257428.8,1964266.2122413581,1.3768303538334354,slowdown = padded throughput / false-shared throughput
8,spread,on,731114842.6,2618033.321326185,1483928755.8,6333429.5714251865,2.0296794283683717,slowdown = padded throughput / false-shared throughput
10,spread,on,724536680.0,5145000.094947498,1550114319.0,31941096.98052662,2.139455961014976,slowdown = padded throughput / false-shared throughput
12,spread,on,731239712.4,3842712.1580717876,1500262170.4,20670807.08181405,2.051669438843787,slowdown = padded throughput / false-shared throughput
