suite,experiment,primitive,threads,cs_cycles,trial,ops_per_sec,mean_latency_ns,p50_ns,p95_ns,p99_ns,stddev_ns,cv_percent,throughput_ops,false_sharing_factor,fairness_gini,fairness_jain,fairness_maxmin,fairness_cv,cpu_migrations,ctx_switches,notes
latency_dist,latency_distribution,mutex,2,0,0,14384372.67,68.66,60.00,110.00,271.00,89.38,130.17,43153118,0.00,0.08,nan,nan,nan,-1,1,"p999=632;hist_clip=p999;hist_overflow=100;gini=0.079187;os_perf=off;hist=20:4337;27:8881;35:7417;42:18908;50:1974;58:24061;65:5447;73:6398;81:0;88:4426;96:11082;104:2934;111:0;119:873;127:433;134:412;142:145;150:51;157:211;165:138;173:121;180:48;188:112;195:141;203:88;211:0;218:73;226:68;234:53;241:0;249:61;257:53;264:55;272:36;280:40;287:53;295:42;303:25;310:33;318:64;326:70;333:81;341:0;348:87;356:65;364:40;371:0;379:31;387:23;394:14;402:2;410:18;417:14;425:12;433:2;440:11;448:13;456:16;463:14;471:0;479:6;486:9;494:7;501:0;509:7;517:10;524:2;532:0;540:6;547:8;555:8;563:0;570:5;578:7;586:4;593:3;601:0;609:6;616:1;624:4;"
latency_dist,latency_distribution,mutex,2,0,1,17886958.33,54.17,50.00,70.00,200.00,67.90,125.35,53660875,0.00,0.06,nan,nan,nan,-1,1,"p999=471;hist_clip=p999;hist_overflow=99;gini=0.062681;os_perf=off;hist=20:6299;25:10226;31:0;36:8952;42:0;48:30868;53:0;59:36881;65:3103;70:457;76:1152;82:0;87:336;93:0;98:142;104:120;110:30;115:18;121:0;127:27;132:0;138:23;144:0;149:25;155:61;160:30;166:34;172:0;177:62;183:0;189:125;194:169;200:88;206:106;211:0;217:61;222:0;228:23;234:0;239:34;245:64;251:0;256:62;262:0;268:44;273:0;279:19;284:9;290:10;296:20;301:0;307:13;313:0;318:36;324:7;330:13;335:16;341:0;346:12;352:0;358:9;363:0;369:14;375:4;380:3;386:8;392:0;397:17;403:0;408:11;414:2;420:7;425:5;431:0;437:11;442:0;448:9;454:0;459:19;465:5;"
latency_dist,latency_distribution,mutex,2,0,2,18244608.33,52.66,50.00,70.00,110.00,57.40,109.00,54733825,0.00,0.06,nan,nan,nan,-1,1,"p999=340;hist_clip=p999;hist_overflow=99;gini=0.060481;os_perf=off;hist=20:5974;24:0;28:9324;32:0;36:0;40:9398;44:0;48:32786;52:0;56:0;60:37086;64:0;68:2636;72:0;76:0;80:1043;84:0;88:515;92:0;96:0;100:216;104:0;108:133;112:0;116:0;120:10;124:0;128:6;132:0;136:0;140:6;144:0;148:22;152:0;156:0;160:117;164:0;168:26;172:0;176:0;180:20;184:0;188:76;192:0;196:0;200:155;204:0;208:46;212:0;216:0;220:46;224:0;228:50;232:0;236:0;240:48;244:0;248:56;252:0;256:0;260:32;264:0;268:17;272:0;276:0;280:18;284:0;288:6;292:0;296:0;300:4;304:0;308:9;312:0;316:0;320:14;324:0;328:3;332:0;336:3;"
latency_dist,latency_distribution,mutex,2,0,3,18135200.67,52.33,50.00,70.00,101.00,39.02,74.56,54405602,0.00,0.06,nan,nan,nan,-1,1,"p999=341;hist_clip=p999;hist_overflow=96;gini=0.061655;os_perf=off;hist=20:5922;24:0;28:9655;32:0;36:8697;40:694;44:0;48:32418;52:0;56:32883;60:4184;64:0;68:3137;72:0;76:751;80:141;84:0;88:316;92:0;96:181;100:53;104:0;108:102;112:0;116:23;120:9;124:0;128:16;132:0;136:4;140:3;144:0;148:14;152:0;156:55;160:28;164:0;168:30;172:0;176:26;180:6;184:0;188:68;192:0;196:85;200:46;204:0;208:59;212:0;216:30;220:30;224:0;228:25;232:0;236:9;240:9;244:0;248:38;252:0;256:26;260:10;264:0;268:20;272:0;276:5;280:7;284:0;288:13;292:0;296:4;300:12;304:0;308:17;312:0;316:5;320:14;324:0;328:19;332:0;336:5;"
latency_dist,latency_distribution,mutex,2,0,4,18189918.00,52.79,50.00,70.00,120.00,55.11,104.39,54569754,0.00,0.06,nan,nan,nan,-1,1,"p999=381;hist_clip=p999;hist_overflow=98;gini=0.061071;os_perf=off;hist=20:6249;24:0;29:9826;33:0;38:9237;42:0;47:31261;51:0;56:33128;60:4148;65:0;69:3679;74:0;78:854;83:0;87:227;92:0;96:294;101:0;105:62;110:34;114:0;119:12;123:0;128:3;132:0;137:4;141:0;146:18;150:7;155:0;159:110;164:0;168:24;173:0;177:43;182:0;186:103;191:0;195:126;200:66;205:0;209:54;214:0;218:64;223:0;227:18;232:0;236:30;241:0;245:29;250:22;254:0;259:47;263:0;268:15;272:0;277:15;281:0;286:8;290:3;295:0;299:13;304:0;308:14;313:0;317:21;322:0;326:5;331:0;335:3;340:1;344:0;349:8;353:0;358:8;362:0;367:4;371:0;376:5;"
latency_dist,latency_distribution,mutex,2,0,5,18181835.33,52.42,50.00,70.00,111.00,42.91,81.86,54545506,0.00,0.06,nan,nan,nan,-1,1,"p999=330;hist_clip=p999;hist_overflow=99;gini=0.063750;os_perf=off;hist=20:6410;23:0;27:10146;31:0;35:0;39:9102;43:0;47:28197;51:2994;54:0;58:37413;62:0;66:2701;70:409;74:0;78:1185;82:0;85:0;89:191;93:0;97:60;101:0;105:0;109:193;113:0;116:2;120:2;124:0;128:8;132:0;136:2;140:1;144:0;147:15;151:0;155:0;159:108;163:0;167:22;171:0;175:0;178:62;182:0;186:90;190:57;194:0;198:212;202:0;206:0;209:97;213:0;217:26;221:0;225:0;229:15;233:0;237:12;240:7;244:0;248:40;252:0;256:26;260:14;264:0;268:15;271:0;275:0;279:13;283:0;287:11;291:0;295:0;299:13;302:0;306:3;310:5;314:0;318:19;322:0;326:3;"
latency_dist,latency_distribution,mutex,2,0,6,18137387.00,55.57,50.00,70.00,161.00,652.41,1174.12,54412161,0.00,0.07,nan,nan,nan,-1,1,"p999=391;hist_clip=p999;hist_overflow=100;gini=0.070352;os_perf=off;hist=20:6552;24:0;29:10318;33:0;38:8915;43:0;47:31065;52:0;57:37087;61:0;66:3469;71:0;75:848;80:140;84:0;89:240;94:0;98:76;103:0;108:162;112:0;117:12;122:0;126:4;131:0;135:2;140:1;145:0;149:17;154:0;159:113;163:0;168:25;173:0;177:58;182:0;186:150;191:0;196:160;200:103;205:66;210:38;214:0;219:49;224:0;228:20;233:0;237:12;242:0;247:32;251:0;256:44;261:0;265:19;270:10;275:0;279:12;284:0;288:7;293:0;298:5;302:0;307:7;312:0;316:19;321:0;326:2;330:8;335:0;339:3;344:0;349:10;353:0;358:3;363:0;367:5;372:0;377:4;381:0;386:8;"
latency_dist,latency_distribution,mutex,2,0,7,18205639.67,52.70,50.00,70.00,160.00,102.63,194.75,54616919,0.00,0.07,nan,nan,nan,-1,1,"p999=360;hist_clip=p999;hist_overflow=99;gini=0.070574;os_perf=off;hist=20:6499;24:0;28:10260;32:0;37:9237;41:0;45:0;49:30899;54:0;58:37132;62:0;66:3058;71:469;75:0;79:865;83:0;88:234;92:0;96:131;100:32;105:0;109:105;113:0;117:7;122:0;126:9;130:2;134:0;139:3;143:0;147:34;151:0;156:60;160:25;164:0;168:29;173:0;177:35;181:0;185:0;190:129;194:0;198:281;202:0;207:62;211:0;215:0;219:75;224:0;228:32;232:0;236:13;241:15;245:0;249:52;253:0;258:42;262:0;266:10;270:7;275:0;279:10;283:0;287:5;292:0;296:5;300:3;304:0;309:7;313:0;317:11;321:0;326:2;330:5;334:0;338:5;343:0;347:3;351:0;355:2;"
latency_dist,latency_distribution,spinlock,2,0,0,17510226.00,55.76,50.00,91.00,141.00,390.11,699.67,52530678,0.00,0.06,nan,nan,nan,-1,1,"p999=321;hist_clip=p999;hist_overflow=96;gini=0.055561;os_perf=off;hist=20:7384;23:0;27:4654;31:0;35:0;38:13283;42:0;46:43911;50:4529;53:0;57:10048;61:0;65:0;68:234;72:0;76:1696;80:335;83:0;87:10267;91:0;95:0;99:1538;102:0;106:397;110:127;114:0;117:252;121:0;125:0;129:30;132:0;136:294;140:100;144:0;147:415;151:0;155:0;159:215;162:0;166:13;170:3;174:0;178:40;181:0;185:0;189:8;193:0;196:6;200:5;204:0;208:10;211:0;215:0;219:3;223:0;226:6;230:1;234:0;238:4;241:0;245:0;249:7;253:0;257:1;260:7;264:0;268:11;272:0;275:0;279:9;283:0;287:3;290:7;294:0;298:12;302:0;305:0;309:18;313:0;317:21;"
latency_dist,latency_distribution,spinlock,2,0,1,15388833.00,67.95,60.00,110.00,150.00,31.31,46.08,46166499,0.00,0.02,nan,nan,nan,-1,1,"p999=361;hist_clip=p999;hist_overflow=99;gini=0.021523;os_perf=off;hist=20:2780;24:0;28:1898;32:0;37:278;41:0;45:0;49:36252;54:0;58:11632;62:0;66:20098;71:0;75:0;79:3763;83:0;88:13316;92:0;96:3477;100:803;105:0;109:895;113:0;118:1688;122:0;126:1047;130:317;135:0;139:551;143:0;147:362;152:0;156:217;160:94;164:0;169:133;173:0;177:46;181:0;186:14;190:13;194:0;199:36;203:0;207:16;211:0;216:15;220:4;224:0;228:14;233:0;237:13;241:0;245:5;250:6;254:0;258:9;262:0;267:15;271:0;275:7;280:5;284:0;288:13;292:0;297:12;301:0;305:0;309:13;314:0;318:12;322:0;326:5;331:0;335:0;339:13;343:0;348:5;352:0;356:9;"
