suite,experiment,primitive,threads,cs_cycles,trial,ops_per_sec,mean_latency_ns,p50_ns,p95_ns,p99_ns,stddev_ns,cv_percent,throughput_ops,false_sharing_factor,fairness_gini,cpu_migrations,ctx_switches,notes
scalability,scalability,mutex,1,0,0,3716171.67,232.83,229.00,252.00,261.00,13.90,5.97,11148515,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,1,0,1,3712396.00,233.69,229.00,252.00,262.00,58.44,25.01,11137188,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,1,0,2,3619416.67,239.33,233.00,259.00,265.00,93.63,39.12,10858250,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,1,0,3,3591793.33,240.85,235.00,260.00,276.00,47.76,19.83,10775380,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,1,0,4,3624060.00,238.83,233.00,259.00,266.00,29.82,12.49,10872180,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,1,0,5,3597449.00,238.30,231.00,258.00,265.00,97.99,41.12,10792347,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,1,0,6,3556481.00,244.46,236.00,259.00,265.00,374.86,153.34,10669443,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,1,0,7,3588158.00,242.97,233.00,259.00,265.00,387.73,159.58,10764474,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,1,0,8,3653322.00,237.62,231.00,258.00,265.00,100.57,42.32,10959966,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,1,0,9,3632633.33,239.56,232.00,259.00,265.00,233.94,97.65,10897900,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,2,0,0,1904436.33,972.63,398.00,3415.10,7184.03,2806.90,288.59,5713309,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,2,0,1,2017503.67,935.73,299.00,3141.00,6525.01,2179.36,232.90,6052511,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,2,0,2,2132360.00,889.66,287.00,3146.00,4666.01,1539.61,173.06,6397080,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,2,0,3,2044378.00,922.74,292.00,3153.05,5062.00,2115.24,229.23,6133134,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,2,0,4,1955297.00,961.23,398.00,3191.00,7071.00,2182.60,227.06,5865891,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,2,0,5,2130659.00,884.84,288.00,3103.00,4659.00,1467.35,165.83,6391977,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,2,0,6,1968726.67,963.49,397.00,3219.00,7060.01,3819.44,396.42,5906180,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,2,0,7,1909619.33,985.26,398.00,3225.00,7090.02,3628.50,368.28,5728858,0.00,0.00,-1,-1,"os-sched"
scalability,scalability,mutex,2,0,8,2002299.00,951.61,397.00,3152.00,7020.01,2174.05,228.46,6006897,0.00,0.00,-1,-1,"os-sched"
